split,layer,beta,accuracy
0,9,1,0.00875
0,9,3,0.06625
0,9,5,0.065
0,10,1,0.03
0,10,3,0.11
0,10,5,0.10375
0,11,1,0.04375
0,11,3,0.12
0,11,5,0.10375
0,12,1,0.0175
0,12,3,0.10625
0,12,5,0.04375
1,9,1,0.010012515644555695
1,9,3,0.0688360450563204
1,9,5,0.07634543178973717
1,10,1,0.025031289111389236
1,10,3,0.11889862327909888
1,10,5,0.11764705882352941
1,11,1,0.0425531914893617
1,11,3,0.12265331664580725
1,11,5,0.11389236545682102
1,12,1,0.026282853566958697
1,12,3,0.1113892365456821
1,12,5,0.05506883604505632
2,9,1,0.0025031289111389237
2,9,3,0.06132665832290363
2,9,5,0.058823529411764705
2,10,1,0.028785982478097622
2,10,3,0.09887359198998748
2,10,5,0.10387984981226533
2,11,1,0.0425531914893617
2,11,3,0.10888610763454318
2,11,5,0.08886107634543179
2,12,1,0.023779724655819776
2,12,3,0.08260325406758448
2,12,5,0.05506883604505632
