split,steering_layer,demean_layer,beta,accuracy
0,9,10,1,0.01125
0,9,10,3,0.025
0,9,10,5,0.0125
0,9,11,1,0.01125
0,9,11,3,0.0275
0,9,11,5,0.005
0,9,12,1,0.005
0,9,12,3,0.015
0,9,12,5,0.0075
0,10,9,1,0.09375
0,10,9,3,0.135
0,10,9,5,0.06625
0,10,11,1,0.065
0,10,11,3,0.06375
0,10,11,5,0.02125
0,10,12,1,0.04625
0,10,12,3,0.0525
0,10,12,5,0.02125
0,11,9,1,0.0975
0,11,9,3,0.12875
0,11,9,5,0.0325
0,11,10,1,0.0575
0,11,10,3,0.0775
0,11,10,5,0.0125
0,11,12,1,0.04625
0,11,12,3,0.06
0,11,12,5,0.01
0,12,9,1,0.0725
0,12,9,3,0.0675
0,12,9,5,0.00875
0,12,10,1,0.04
0,12,10,3,0.0375
0,12,10,5,0.0025
0,12,11,1,0.06625
0,12,11,3,0.0325
0,12,11,5,0.005
1,9,10,1,0.012515644555694618
1,9,10,3,0.023779724655819776
1,9,10,5,0.010012515644555695
1,9,11,1,0.015018773466833541
1,9,11,3,0.015018773466833541
1,9,11,5,0.008760951188986232
1,9,12,1,0.007509386733416771
1,9,12,3,0.011264080100125156
1,9,12,5,0.0037546933667083854
1,10,9,1,0.07384230287859825
1,10,9,3,0.12265331664580725
1,10,9,5,0.06633291614518148
1,10,11,1,0.05131414267834793
1,10,11,3,0.07384230287859825
1,10,11,5,0.02002503128911139
1,10,12,1,0.03629536921151439
1,10,12,3,0.05006257822277847
1,10,12,5,0.02002503128911139
1,11,9,1,0.08635794743429287
1,11,9,3,0.11514392991239049
1,11,9,5,0.04505632040050062
1,11,10,1,0.05381727158948686
1,11,10,3,0.07759699624530664
1,11,10,5,0.017521902377972465
1,11,12,1,0.03629536921151439
1,11,12,3,0.07133917396745933
1,11,12,5,0.011264080100125156
1,12,9,1,0.06132665832290363
1,12,9,3,0.07133917396745933
1,12,9,5,0.011264080100125156
1,12,10,1,0.04505632040050062
1,12,10,3,0.03379224030037547
1,12,10,5,0.0025031289111389237
1,12,11,1,0.05131414267834793
1,12,11,3,0.03504380475594493
1,12,11,5,0.0025031289111389237
2,9,10,1,0.01376720901126408
2,9,10,3,0.025031289111389236
2,9,10,5,0.012515644555694618
2,9,11,1,0.02002503128911139
2,9,11,3,0.026282853566958697
2,9,11,5,0.0050062578222778474
2,9,12,1,0.007509386733416771
2,9,12,3,0.02127659574468085
2,9,12,5,0.006257822277847309
2,10,9,1,0.09386733416770963
2,10,9,3,0.13016270337922403
2,10,9,5,0.05506883604505632
2,10,11,1,0.05506883604505632
2,10,11,3,0.07008760951188986
2,10,11,5,0.017521902377972465
2,10,12,1,0.04380475594493116
2,10,12,3,0.05006257822277847
2,10,12,5,0.017521902377972465
2,11,9,1,0.08886107634543179
2,11,9,3,0.11514392991239049
2,11,9,5,0.025031289111389236
2,11,10,1,0.05006257822277847
2,11,10,3,0.06508135168961202
2,11,10,5,0.015018773466833541
2,11,12,1,0.0425531914893617
2,11,12,3,0.058823529411764705
2,11,12,5,0.01376720901126408
2,12,9,1,0.07634543178973717
2,12,9,3,0.0688360450563204
2,12,9,5,0.010012515644555695
2,12,10,1,0.04130162703379224
2,12,10,3,0.028785982478097622
2,12,10,5,0.0025031289111389237
2,12,11,1,0.058823529411764705
2,12,11,3,0.03504380475594493
2,12,11,5,0.0050062578222778474
