split,layer,beta,demean_scale,accuracy
0,9,1,0.5,0.03125
0,9,1,1.0,0.03
0,9,1,2.0,0.00625
0,9,3,0.5,0.1075
0,9,3,1.0,0.07
0,9,3,2.0,0.0
0,9,5,0.5,0.0975
0,9,5,1.0,0.0225
0,9,5,2.0,0.0
0,10,1,0.5,0.0625
0,10,1,1.0,0.04125
0,10,1,2.0,0.0
0,10,3,0.5,0.14375
0,10,3,1.0,0.07
0,10,3,2.0,0.0
0,10,5,0.5,0.12
0,10,5,1.0,0.0325
0,10,5,2.0,0.0
0,11,1,0.5,0.075
0,11,1,1.0,0.065
0,11,1,2.0,0.0025
0,11,3,0.5,0.15625
0,11,3,1.0,0.06625
0,11,3,2.0,0.0
0,11,5,0.5,0.11875
0,11,5,1.0,0.00875
0,11,5,2.0,0.0
0,12,1,0.5,0.0575
0,12,1,1.0,0.0375
0,12,1,2.0,0.0
0,12,3,0.5,0.12375
0,12,3,1.0,0.03375
0,12,3,2.0,0.0
0,12,5,0.5,0.06625
0,12,5,1.0,0.00625
0,12,5,2.0,0.0
1,9,1,0.5,0.028785982478097622
1,9,1,1.0,0.025031289111389236
1,9,1,2.0,0.0050062578222778474
1,9,3,0.5,0.11013767209011265
1,9,3,1.0,0.06508135168961202
1,9,3,2.0,0.0
1,9,5,0.5,0.09637046307884856
1,9,5,1.0,0.025031289111389236
1,9,5,2.0,0.0
1,10,1,0.5,0.060075093867334166
1,10,1,1.0,0.03504380475594493
1,10,1,2.0,0.0
1,10,3,0.5,0.14267834793491865
1,10,3,1.0,0.07759699624530664
1,10,3,2.0,0.0
1,10,5,0.5,0.1276595744680851
1,10,5,1.0,0.03128911138923655
1,10,5,2.0,0.0
1,11,1,0.5,0.07509386733416772
1,11,1,1.0,0.060075093867334166
1,11,1,2.0,0.0037546933667083854
1,11,3,0.5,0.1476846057571965
1,11,3,1.0,0.07133917396745933
1,11,3,2.0,0.0
1,11,5,0.5,0.11764705882352941
1,11,5,1.0,0.006257822277847309
1,11,5,2.0,0.0
1,12,1,0.5,0.06132665832290363
1,12,1,1.0,0.03879849812265332
1,12,1,2.0,0.0012515644555694619
1,12,3,0.5,0.1414267834793492
1,12,3,1.0,0.028785982478097622
1,12,3,2.0,0.0
1,12,5,0.5,0.06758448060075094
1,12,5,1.0,0.0025031289111389237
1,12,5,2.0,0.0
2,9,1,0.5,0.03254067584480601
2,9,1,1.0,0.03504380475594493
2,9,1,2.0,0.0037546933667083854
2,9,3,0.5,0.10387984981226533
2,9,3,1.0,0.06132665832290363
2,9,3,2.0,0.0
2,9,5,0.5,0.08886107634543179
2,9,5,1.0,0.02127659574468085
2,9,5,2.0,0.0
2,10,1,0.5,0.06382978723404255
2,10,1,1.0,0.05131414267834793
2,10,1,2.0,0.0012515644555694619
2,10,3,0.5,0.14017521902377972
2,10,3,1.0,0.07634543178973717
2,10,3,2.0,0.0
2,10,5,0.5,0.10888610763454318
2,10,5,1.0,0.02753441802252816
2,10,5,2.0,0.0
2,11,1,0.5,0.07509386733416772
2,11,1,1.0,0.058823529411764705
2,11,1,2.0,0.0
2,11,3,0.5,0.15269086357947434
2,11,3,1.0,0.05381727158948686
2,11,3,2.0,0.0
2,11,5,0.5,0.0951188986232791
2,11,5,1.0,0.012515644555694618
2,11,5,2.0,0.0
2,12,1,0.5,0.058823529411764705
2,12,1,1.0,0.03879849812265332
2,12,1,2.0,0.0
2,12,3,0.5,0.13016270337922403
2,12,3,1.0,0.03254067584480601
2,12,3,2.0,0.0
2,12,5,0.5,0.05006257822277847
2,12,5,1.0,0.0050062578222778474
2,12,5,2.0,0.0
